bookID,isbn,title,authors,categories,published_year,average_rating,num_pages,ratings_count
214,60595183,The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,2004,3.94,187,27716
215,60598808,Thanksgiving,Janet Evanovich,Fiction,2006,3.6,228,10334
216,60598840,Love Overboard,Janet Evanovich,Fiction,2005,3.65,244,11223
217,60598859,Back to the Bedroom,Janet Evanovich,Fiction,2005,3.67,234,9839
218,60598891,The Rocky Road to Romance,Janet Evanovich,Fiction,2004,3.67,249,9470
219,60598964,Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,2005,3.92,188,2181
220,60598972,Muhammad,Karen Armstrong,Biography & Autobiography,2006,4.04,256,1662
221,60609176,Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,1995,4.14,160,3998
222,60609192,Reading the Bible Again for the First Time,Marcus J. Borg,Religion,2002,4.13,321,2875
223,60622130,Shadow of the Almighty,Elisabeth Elliot,Religion,1989,4.39,272,6658
224,60645890,The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,2002,3.96,256,5319
225,60652853,C.S. Lewis,C. S. Lewis,Religion,1996,4.31,176,255
226,60652896,The Screwtape Letters,C. S. Lewis,Religion,2001,4.22,224,116735
227,60652926,Mere Christianity,C. S. Lewis,Religion,2001,4.32,227,7316
228,60654856,Learning to Love,Thomas Merton,Religion,1998,4.5,382,15
229,60725141,The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,2004,4.17,316,30018
230,60727535,Cash,Johnny Cash,Biography & Autobiography,2003,4.07,310,16485
231,60727632,"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,2004,4.37,1072,112
232,60730552,Touching the Void,Joe Simpson,Sports & Recreation,2004,4.21,218,42264
233,60731303,Anybody Out There?,Marian Keyes,Fiction,2006,3.91,456,343
234,60732709,My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,2004,4.14,24,37
235,60733357,The Confusion,Neal Stephenson,Fiction,2005,4.25,815,18790
236,60734019,Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,2004,3.99,191,1764
237,60735422,Practical Demonkeeping,Christopher Moore,Fiction,2004,3.82,256,36255
238,60735449,Island of the Sequined Love Nun,Christopher Moore,Fiction,2004,3.79,336,26949
239,60735457,The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,2004,3.86,304,28420
240,60736259,Weetzie Bat,Francesca Lia Block,Juvenile Fiction,2004,3.74,128,12771
241,60737042,Behind the Curtain,Peter Abrahams,Juvenile Fiction,2006,3.9,352,30
242,60739428,"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,2004,3.71,224,33009
243,60745908,Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,2004,3.53,409,2747
244,60747226,Son of a Witch,Gregory Maguire,Fiction,2006,3.47,352,51493
245,60747471,This Rough Magic,Mary Stewart,Fiction,2004,4.05,373,4966
246,60747480,Airs Above the Ground,Mary Stewart,Fiction,2004,4.04,384,4458
247,60751649,The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,2004,4.15,263,31501
248,60753102,Beauty,Robin McKinley,Juvenile Fiction,2005,4.05,325,3203
249,60753633,Mating in Captivity,Esther Perel,Psychology,2006,4.13,272,7699
250,60754001,Forgotten New York,Kevin Walsh,Travel,2006,4.18,384,198
251,60758767,The Dead Beat,Marilyn Johnson,Social Science,2007,3.41,272,1106
252,60760257,Charms for the Easy Life,Kaye Gibbons,Fiction,2005,4.02,272,10983
253,60760443,The Reading Group,Elizabeth Noble,Fiction,2005,3.34,429,6408
254,60760826,A Couple of April Fools,Gregory Maguire,Juvenile Fiction,2005,3.5,240,3
255,60761539,What Christians Believe,C. S. Lewis,Religion,2005,4.2,98,517
256,60763728,Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,2006,3.84,116,2414
257,60765313,YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,2005,3.82,417,3099
258,60765453,The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,2005,4.26,766,1099
259,60765488,"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,2005,4.21,189,615
260,60766743,"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,2005,3.89,432,92
261,60773758,A Quick Bite,Lynsay Sands,Fiction,2005,3.91,360,34478
262,60775858,Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,2005,4.27,32,264013
263,60776099,Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,2005,4.16,340,123044
264,60777109,The Final Solution,Michael Chabon,Fiction,2005,3.31,131,13455
265,60777338,The Cat's Pajamas,Ray Bradbury,Fiction,2005,3.73,234,1316
266,60778016,Holy Skirts,Rene Steinke,Fiction,2005,3.61,384,322
267,60782137,Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,2006,4,32,20
268,60786736,A False Mirror,Charles Todd,Fiction,2007,4.02,384,2354
269,60787031,Cracks in My Foundation,Marian Keyes,Fiction,2005,3.81,368,1569
